PER,last_year_wins,continuity,avg_age,num_wins
198.9,22,0.642322154,26.13333333,24
183.1,41,0.862769309,26.07692308,50
168.1,55,0.877418699,28.38461538,58
209,43,0.422926829,27.76470588,45
178.7,25,0.728597561,26.07692308,28
200.2,54,0.80765752,27.69230769,47
193.1,57,0.663064024,27.57142857,55
189.3,26,0.323231707,27.35714286,25
186.6,41,0.753805894,26.46153846,47
154.7,44,0.746824187,26.45454545,41
166.2,51,0.801946138,27.07692308,47
160.5,36,0.722972561,24.92307692,42
176,36,0.959044715,25,42
167.7,60,0.95620935,27.84615385,57
193.1,62,0.790177846,27.61538462,56
201.2,55,0.784817073,26.5625,34
167.5,22,0.536737805,27.35714286,11
191.3,53,0.560731707,27.23076923,62
147.7,29,0.908104675,24.41666667,25
125.3,51,0.573333333,27.25,60
155.3,42,0.779867886,27.69230769,55
148.6,35,0.713658537,27.53846154,26
182.2,21,0.676620935,26.35714286,41
178.7,25,0.609237805,26.33333333,22
161.7,38,0.92050813,24.58333333,36
174.7,47,0.853333333,26.61538462,55
166.5,31,0.810731707,26,44
208.3,47,0.588328252,27.78571429,49
167.5,43,0.733455285,27,39
162.6,48,0.672240854,28.76923077,40
162.8,24,0.639329268,26.07692308,36
159.2,55,0.714314024,27,47
176.7,31,0.38675813,29.38461538,28
160.7,15,0.254893293,25.83333333,19
212.2,38,0.710518293,26.71428571,43
177,57,0.800934959,27.61538462,51
164,45,0.599344512,26.76923077,41
157.8,67,0.88390752,28.08333333,57
185.3,51,0.82945122,29,48
172,40,0.713831301,26.23076923,41
181.5,57,0.831158537,26.25,54
167,40,0.778597561,25.66666667,43
173.2,29,0.825955285,26,15
194.3,33,0.689822154,25.6,57
163.2,31,0.935066057,26.38461538,21
192.1,48,0.757469512,28.16666667,31
211.7,28,0.693704268,29.64285714,22
175.8,39,0.670365854,27.07142857,51
173.3,44,0.74066565,26.86666667,55
182.6,61,0.966946138,26.58333333,67
169.1,58,0.772454268,27.83333333,43
178.9,30,0.55745935,25.92857143,25
177.2,52,0.863252033,26.46153846,42
154.5,31,0.654496951,24.84615385,45
148.6,26,0.600218496,25.66666667,40
153.4,44,0.576814024,27.53846154,35
143.1,41,0.600436992,26.5,47
173.1,41,0.936148374,26.92307692,40
173,55,0.802073171,26.07142857,47
170.2,24,0.742860772,24.35714286,38
176.6,54,0.779212398,27.5,55
211.5,56,0.837870935,27.46666667,51
186,50,0.739207317,30.64285714,48
179.5,20,0.317560976,25.78571429,24
175.4,43,0.469014228,27.69230769,38
157.3,26,0.622662602,25.53846154,31
204,25,0.404456301,25.94117647,29
161.8,63,0.936875,27.54545455,57
254.1,55,0.861875,26.69230769,53
