@relation lockout_fixed_with_age_postsub

@attribute ﻿PER numeric
@attribute last_year_wins numeric
@attribute continuity numeric
@attribute avg_age numeric
@attribute num_wins numeric

@data
162.7,19,0.74373,25.846154,20
172.3,47,0.64904,28.461538,53
162.6,39,0.644776,26.75,33
198.9,22,0.642322,26.133333,24
183.1,41,0.862769,26.076923,50
168.1,55,0.877419,28.384615,58
209,43,0.422927,27.764706,45
178.7,25,0.728598,26.076923,28
200.2,54,0.807658,27.692308,47
193.1,57,0.663064,27.571429,55
189.3,26,0.323232,27.357143,25
186.6,41,0.753806,26.461538,47
154.7,44,0.746824,26.454545,41
166.2,51,0.801946,27.076923,47
160.5,36,0.722973,24.923077,42
176,36,0.959045,25,42
167.7,60,0.956209,27.846154,57
193.1,62,0.790178,27.615385,56
201.2,55,0.784817,26.5625,34
167.5,22,0.536738,27.357143,11
191.3,53,0.560732,27.230769,62
147.7,29,0.908105,24.416667,25
125.3,51,0.573333,27.25,60
155.3,42,0.779868,27.692308,55
148.6,35,0.713659,27.538462,26
182.2,21,0.676621,26.357143,41
178.7,25,0.609238,26.333333,22
161.7,38,0.920508,24.583333,36
174.7,47,0.853333,26.615385,55
166.5,31,0.810732,26,44
208.3,47,0.588328,27.785714,49
167.5,43,0.733455,27,39
162.6,48,0.672241,28.769231,40
162.8,24,0.639329,26.076923,36
159.2,55,0.714314,27,47
176.7,31,0.386758,29.384615,28
160.7,15,0.254893,25.833333,19
212.2,38,0.710518,26.714286,43
177,57,0.800935,27.615385,51
164,45,0.599345,26.769231,41
157.8,67,0.883908,28.083333,57
185.3,51,0.829451,29,48
172,40,0.713831,26.230769,41
181.5,57,0.831159,26.25,54
167,40,0.778598,25.666667,43
173.2,29,0.825955,26,15
194.3,33,0.689822,25.6,57
163.2,31,0.935066,26.384615,21
192.1,48,0.75747,28.166667,31
211.7,28,0.693704,29.642857,22
175.8,39,0.670366,27.071429,51
173.3,44,0.740666,26.866667,55
182.6,61,0.966946,26.583333,67
169.1,58,0.772454,27.833333,43
